#Any comment and/or header
# Station:  Tracking Orbit for the GPS BIIR-12 (PRN 23)  
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
# UTC Date/Time   Azimuth and AZ_Velocity   Elevation and EL_Velocity
YYYY.DOY.HH.MM.SS AZd AZm AZ.s AZ.Vel       ELd ELm EL.s EL.Vel
2017.123.14.00.00 302 35  0.8 0.002180		014 26  0.9 0.006181
2017.123.14.01.00 302 43  0.5 0.002148		014 48  0.8 0.006194
2017.123.14.02.00 302 51  0.2 0.002115		015 10  0.8 0.006208
2017.123.14.03.00 302 58  0.8 0.002082		015 32  0.8 0.006222
2017.123.14.03.59 303 06  0.2 0.002048		015 54  0.9 0.006235
2017.123.14.04.59 303 13  0.5 0.002014		016 16  1.0 0.006249
2017.123.14.05.59 303 20  0.7 0.001980		016 39  0.2 0.006262
2017.123.14.06.59 303 27  0.8 0.001944		017 01  0.4 0.006276
2017.123.14.07.59 303 34  0.7 0.001909		017 23  0.6 0.006289
2017.123.14.08.59 303 41  0.5 0.001873		017 45  1.0 0.006303
2017.123.14.09.59 303 48  0.2 0.001836		018 08  0.3 0.006316
2017.123.14.10.59 303 54  0.8 0.001799		018 30  0.7 0.006330
2017.123.14.11.59 304 01  0.2 0.001762		018 53  0.2 0.006343
2017.123.14.12.59 304 07  0.5 0.001723		019 15  0.7 0.006356
2017.123.14.13.59 304 13  0.6 0.001685		019 38  0.3 0.006369
2017.123.14.14.59 304 19  0.6 0.001645		020 00  0.9 0.006382
2017.123.14.15.59 304 25  0.5 0.001605		020 23  0.5 0.006396
2017.123.14.16.59 304 31  0.2 0.001565		020 46  0.2 0.006409
2017.123.14.17.59 304 36  0.8 0.001524		021 08  1.0 0.006421
2017.123.14.18.59 304 42  0.2 0.001482		021 31  0.8 0.006434
2017.123.14.19.59 304 47  0.5 0.001440		021 54  0.6 0.006447
2017.123.14.20.59 304 52  0.6 0.001397		022 17  0.5 0.006460
2017.123.14.21.59 304 57  0.6 0.001353		022 40  0.5 0.006472
2017.123.14.22.59 305 02  0.4 0.001309		023 03  0.5 0.006485
2017.123.14.23.59 305 07  0.0 0.001264		023 26  0.5 0.006497
2017.123.14.24.59 305 11  0.5 0.001218		023 49  0.6 0.006509
2017.123.14.25.59 305 15  0.8 0.001171		024 12  0.7 0.006521
2017.123.14.26.59 305 19  1.0 0.001124		024 35  0.8 0.006533
2017.123.14.27.59 305 23  1.0 0.001076		024 59  0.1 0.006545
2017.123.14.28.59 305 27  0.8 0.001027		025 22  0.3 0.006557
2017.123.14.29.59 305 31  0.4 0.000978		025 45  0.6 0.006568
